"coefficient_id","symbol","physical_quantity","quantity_type","evidence_class","value","unit","uncertainty","uncertainty_type","pressure","temperature","density","composition","phase","source_title","authors","year","journal","doi","arxiv","dataset_url","source_url","data_location","method","validity_domain","interpolation_rule","extrapolation_allowed","usable_for_A35_real_Qeq","reason","confidence","notes"
"li_2022_dni_200gpa","D_Ni,self","Ni self-diffusion coefficient","self_diffusion","literature_data","2.67e-9","m^2 s^-1","4.4e-10","standard_error","2.00e11","4460","","Fe116Ni12 (128 atoms; x_Fe=0.90625; x_Ni=0.09375)","liquid Fe-Ni","Ab initio determination on diffusion coefficient and viscosity of FeNi fluid under Earth's core condition","Wei-Jie Li; Zi Li; Zhe Ma; Ping Zhang; Yong Lu; Cong Wang; Qian Jia; Xue-Bin Cheng; Han-Dong Hu","2022","Scientific Reports 12, 21255","10.1038/s41598-022-24594-8","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9731973/","Table 1; Figure 3; calculation details specify 12 Ni and 116 Fe atoms","ab initio molecular dynamics; self diffusion from mean-square displacement","single discrete state on the adopted core adiabat at the stated composition and liquid phase","none; discrete point only","false","false","Ni self diffusion is not a Fe-Ni mutual-diffusion coefficient, Onsager cross coefficient, or charge mobility.","high","literature_data; SI value and standard error converted from the Table 1 scale of 1e-9 m^2 s^-1."
"li_2022_dfe_250gpa","D_Fe,self","Fe self-diffusion coefficient","self_diffusion","literature_data","3.00e-9","m^2 s^-1","5.2e-10","standard_error","2.50e11","4863","","Fe116Ni12 (128 atoms; x_Fe=0.90625; x_Ni=0.09375)","liquid Fe-Ni","Ab initio determination on diffusion coefficient and viscosity of FeNi fluid under Earth's core condition","Wei-Jie Li; Zi Li; Zhe Ma; Ping Zhang; Yong Lu; Cong Wang; Qian Jia; Xue-Bin Cheng; Han-Dong Hu","2022","Scientific Reports 12, 21255","10.1038/s41598-022-24594-8","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9731973/","Table 1; Figure 3; calculation details specify 12 Ni and 116 Fe atoms","ab initio molecular dynamics; self diffusion from mean-square displacement","single discrete state on the adopted core adiabat at the stated composition and liquid phase","none; discrete point only","false","false","Fe self diffusion is not a Fe-Ni mutual-diffusion coefficient, Onsager cross coefficient, or charge mobility.","high","literature_data; SI value and standard error converted from the Table 1 scale of 1e-9 m^2 s^-1."
"li_2022_dni_250gpa","D_Ni,self","Ni self-diffusion coefficient","self_diffusion","literature_data","2.85e-9","m^2 s^-1","5.4e-10","standard_error","2.50e11","4863","","Fe116Ni12 (128 atoms; x_Fe=0.90625; x_Ni=0.09375)","liquid Fe-Ni","Ab initio determination on diffusion coefficient and viscosity of FeNi fluid under Earth's core condition","Wei-Jie Li; Zi Li; Zhe Ma; Ping Zhang; Yong Lu; Cong Wang; Qian Jia; Xue-Bin Cheng; Han-Dong Hu","2022","Scientific Reports 12, 21255","10.1038/s41598-022-24594-8","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9731973/","Table 1; Figure 3; calculation details specify 12 Ni and 116 Fe atoms","ab initio molecular dynamics; self diffusion from mean-square displacement","single discrete state on the adopted core adiabat at the stated composition and liquid phase","none; discrete point only","false","false","Ni self diffusion is not a Fe-Ni mutual-diffusion coefficient, Onsager cross coefficient, or charge mobility.","high","literature_data; SI value and standard error converted from the Table 1 scale of 1e-9 m^2 s^-1."
"li_2022_dfe_300gpa","D_Fe,self","Fe self-diffusion coefficient","self_diffusion","literature_data","3.29e-9","m^2 s^-1","6.1e-10","standard_error","3.00e11","5265","","Fe116Ni12 (128 atoms; x_Fe=0.90625; x_Ni=0.09375)","liquid Fe-Ni","Ab initio determination on diffusion coefficient and viscosity of FeNi fluid under Earth's core condition","Wei-Jie Li; Zi Li; Zhe Ma; Ping Zhang; Yong Lu; Cong Wang; Qian Jia; Xue-Bin Cheng; Han-Dong Hu","2022","Scientific Reports 12, 21255","10.1038/s41598-022-24594-8","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9731973/","Table 1; Figure 3; calculation details specify 12 Ni and 116 Fe atoms","ab initio molecular dynamics; self diffusion from mean-square displacement","single discrete state on the adopted core adiabat at the stated composition and liquid phase","none; discrete point only","false","false","Fe self diffusion is not a Fe-Ni mutual-diffusion coefficient, Onsager cross coefficient, or charge mobility.","high","literature_data; SI value and standard error converted from the Table 1 scale of 1e-9 m^2 s^-1."
"li_2022_dni_300gpa","D_Ni,self","Ni self-diffusion coefficient","self_diffusion","literature_data","3.37e-9","m^2 s^-1","6.4e-10","standard_error","3.00e11","5265","","Fe116Ni12 (128 atoms; x_Fe=0.90625; x_Ni=0.09375)","liquid Fe-Ni","Ab initio determination on diffusion coefficient and viscosity of FeNi fluid under Earth's core condition","Wei-Jie Li; Zi Li; Zhe Ma; Ping Zhang; Yong Lu; Cong Wang; Qian Jia; Xue-Bin Cheng; Han-Dong Hu","2022","Scientific Reports 12, 21255","10.1038/s41598-022-24594-8","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9731973/","Table 1; Figure 3; calculation details specify 12 Ni and 116 Fe atoms","ab initio molecular dynamics; self diffusion from mean-square displacement","single discrete state on the adopted core adiabat at the stated composition and liquid phase","none; discrete point only","false","false","Ni self diffusion is not a Fe-Ni mutual-diffusion coefficient, Onsager cross coefficient, or charge mobility.","high","literature_data; SI value and standard error converted from the Table 1 scale of 1e-9 m^2 s^-1."
"li_2022_dfe_330gpa","D_Fe,self","Fe self-diffusion coefficient","self_diffusion","literature_data","3.35e-9","m^2 s^-1","6.7e-10","standard_error","3.30e11","5507","","Fe116Ni12 (128 atoms; x_Fe=0.90625; x_Ni=0.09375)","liquid Fe-Ni","Ab initio determination on diffusion coefficient and viscosity of FeNi fluid under Earth's core condition","Wei-Jie Li; Zi Li; Zhe Ma; Ping Zhang; Yong Lu; Cong Wang; Qian Jia; Xue-Bin Cheng; Han-Dong Hu","2022","Scientific Reports 12, 21255","10.1038/s41598-022-24594-8","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9731973/","Table 1; Figure 3; calculation details specify 12 Ni and 116 Fe atoms","ab initio molecular dynamics; self diffusion from mean-square displacement","single discrete state on the adopted core adiabat at the stated composition and liquid phase","none; discrete point only","false","false","Fe self diffusion is not a Fe-Ni mutual-diffusion coefficient, Onsager cross coefficient, or charge mobility.","high","literature_data; SI value and standard error converted from the Table 1 scale of 1e-9 m^2 s^-1."
"li_2022_dni_330gpa","D_Ni,self","Ni self-diffusion coefficient","self_diffusion","literature_data","3.35e-9","m^2 s^-1","6.9e-10","standard_error","3.30e11","5507","","Fe116Ni12 (128 atoms; x_Fe=0.90625; x_Ni=0.09375)","liquid Fe-Ni","Ab initio determination on diffusion coefficient and viscosity of FeNi fluid under Earth's core condition","Wei-Jie Li; Zi Li; Zhe Ma; Ping Zhang; Yong Lu; Cong Wang; Qian Jia; Xue-Bin Cheng; Han-Dong Hu","2022","Scientific Reports 12, 21255","10.1038/s41598-022-24594-8","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9731973/","Table 1; Figure 3; calculation details specify 12 Ni and 116 Fe atoms","ab initio molecular dynamics; self diffusion from mean-square displacement","single discrete state on the adopted core adiabat at the stated composition and liquid phase","none; discrete point only","false","false","Ni self diffusion is not a Fe-Ni mutual-diffusion coefficient, Onsager cross coefficient, or charge mobility.","high","literature_data; SI value and standard error converted from the Table 1 scale of 1e-9 m^2 s^-1."
"white_2019_maxwell_stefan_method","D_ij","Maxwell-Stefan mutual-diffusion coefficient and friction balance","maxwell_stefan","method_only","","m^2 s^-1","","not_applicable_method_only","","1.160451812e5..3.481355436e6","1.0e4","D:Li:C=1:1:1 for the registered Tables II-III example","warm dense plasma","Multicomponent mutual diffusion in the warm, dense matter regime","A. J. White; C. Ticknor; E. R. Meyer; J. D. Kress; L. A. Collins","2019","Physical Review E 100, 033213","10.1103/PhysRevE.100.033213","","","https://journals.aps.org/pre/abstract/10.1103/PhysRevE.100.033213","Equation (2); Equations (17)-(20); Tables II-III","Maxwell-Stefan friction balance linked to trajectory-derived Onsager coefficients","Published D-Li-C examples at rho=1.0e4 kg m^-3; Table II T=1.160451812e5..3.481355436e6 K and Table III T=1.160451812e5..1.160451812e6 K; no Fe-Ni evaluation","none_registered","false","false","Method-only source: the published mixtures and coefficients are not Fe-Ni-Light material data and cannot be composition-transferred.","high","method_only; source table values use cm^2 s^-1; a future pointwise ingestion must apply 1 cm^2 s^-1 = 1e-4 m^2 s^-1. No table value is copied into this method row."
"white_2019_onsager_method","Lambda_ij","trajectory-derived Onsager transport coefficient","onsager","method_only","","m^2 s^-1","","not_applicable_method_only","","1.160451812e5..3.481355436e6","1.0e4","D:Li:C=1:1:1 for the registered Tables II-III example","warm dense plasma","Multicomponent mutual diffusion in the warm, dense matter regime","A. J. White; C. Ticknor; E. R. Meyer; J. D. Kress; L. A. Collins","2019","Physical Review E 100, 033213","10.1103/PhysRevE.100.033213","","","https://journals.aps.org/pre/abstract/10.1103/PhysRevE.100.033213","Equations (7)-(15); Equations (17)-(20); Tables II-III","Onsager coefficients from MSD/VACF and reference-frame transformation; symmetry and center-of-mass constraints retained","Published non-Fe/Ni WDM examples at fixed density; no Fe-Ni-Light Onsager matrix is reported","none_registered","false","false","Method-only source: it identifies the required cross-correlation structure but supplies no usable Fe-Ni-Light matrix.","high","method_only; self-diffusion terms alone do not replace the off-diagonal Onsager coefficients."
"ohta_2025_sigma_e_lower_bound","sigma_e","electrical-conductivity lower bound at the top of the outer core for the stated Fe-Ni-Si alloy","electrical_conductivity","derived","9.2e5","S m^-1","","not_reported_for_published_bound","1.40e11","3900","","Fe-10 at.% Ni-22.5 at.% Si (Fe-11.8 wt.% Ni-12.7 wt.% Si)","liquid Fe-Ni-Si top-of-outer-core estimate","Electrical and thermal conductivities of Fe-Ni-Si alloy under core conditions: A reevaluation","Kenji Ohta; Hayato Inoue; Sho Suehiro; Kei Hirose; Saori Kawaguchi-Imada; Haruhiko Dekura","2025","Physics of the Earth and Planetary Interiors 363, 107351","10.1016/j.pepi.2025.107351","","","https://researchmap.jp/7000018082/published_papers/49857769/attachment_file.pdf","Abstract; Table 2; Equation (12); Section 4; Figure 12a","four-probe DAC and synchrotron XRD; source resistivity-saturation model; sigma_e derived in the paper from rho_e approximately 1.10e-6 ohm m","Published lower-bound estimate only at P=1.40e11 Pa and T=3900 K for the stated alloy; underlying experimental envelope is documented in Table 2","none; single published bound","false","false","Electrical conductivity is only one projection of electron response and does not determine D_e, electron mobility, or j_e under chemical and thermal gradients.","medium","derived in the primary paper, not by this registry; the paper states that this alloy is not a realistic complete core composition and reports no uncertainty for the summary bound."
"rightley_baalrud_2021_ei_collision_method","nu_ei","electron-ion momentum-relaxation collision rate entering the conductivity projection","collision_rate","method_only","","s^-1","","not_applicable_method_only","","1.160451812e4..1.160451812e7","2.7e3","Aluminum","warm dense aluminum plasma","Kinetic model for electron-ion transport in warm dense matter","Shane Rightley; Scott D. Baalrud","2021","Physical Review E 103, 063206","10.1103/PhysRevE.103.063206","2102.05115","","https://journals.aps.org/pre/abstract/10.1103/PhysRevE.103.063206","Equation (7) and Figure 2 for the potential of mean force; Equations (31)-(34); Figures 4-5","Uehling-Uhlenbeck electron-ion kinetics with a potential of mean force from quantum Ornstein-Zernike and average-atom closure","Published aluminum demonstration at rho=2.7e3 kg m^-3 and T=1.160451812e4..1.160451812e7 K; no Fe-Ni-Light coefficient table","none_registered","false","false","Method-only source: no directly usable Fe-Ni-Light collision rate, full electron response operator, mobility, or capture kernel is supplied.","high","method_only; the conductivity relation must not be inverted into a free D_e; the paper isolates the electron-ion contribution and discusses missing electron-electron contributions."
